country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Trinidad and Tobago,18300,19000,20500,23300,25000,26400,29800,31100,32000,30400,31300,31000,31200,31600,31100,31500,29300,28600,28600,28500
Tunisia,7570,7790,7830,8130,8570,8800,9180,9690,10000,10200,10400,10100,10400,10600,10800,10900,10900,11000,11100,11100
Turkey,13900,12800,13500,14000,15200,16300,17300,17900,17800,16800,18000,19700,20300,21600,22300,23300,23700,25000,25300,25000
Turkmenistan,5330,5510,5470,5590,5810,6500,7130,7820,8850,9250,9940,11200,12200,13200,14300,15000,15600,16400,17100,17600
Tuvalu,3050,3070,3280,3120,3040,2880,2910,3070,3280,3100,2990,3180,3030,3130,3140,3390,3450,3550,3590,3730
Uganda,1070,1090,1150,1180,1220,1260,1350,1420,1500,1550,1590,1680,1690,1700,1720,1750,1770,1770,1810,1870
Ukraine,4800,5290,5630,6210,7020,7280,7870,8520,8770,7510,7820,8280,8320,8340,8240,7470,7680,7910,8200,8480
United Arab Emirates,103000,99400,96700,98600,98500,91600,87100,77200,69400,58800,55400,56600,57900,60400,62900,65800,67000,66700,66600,65700
United Kingdom,33200,34000,34700,35700,36300,37200,37800,38500,38100,36200,36500,36800,37100,37600,38400,39000,39400,39900,40200,40400
United States,45700,45700,46000,46900,48300,49500,50400,50900,50400,48600,49500,49900,50600,51200,52100,53200,53600,54500,55700,56700
Uruguay,12900,12400,11400,11500,12100,13000,13500,14400,15400,16000,17200,18000,18600,19400,19900,19900,20200,20700,20900,20900
Uzbekistan,2520,2590,2660,2740,2910,3080,3270,3530,3790,4020,4240,4470,4770,5070,5340,5640,5880,6040,6240,6490
Vanuatu,2820,2670,2470,2510,2540,2610,2760,2840,2950,2980,2950,2910,2880,2850,2840,2740,2780,2830,2850,2890
Venezuela,14600,14800,13300,12000,14000,15100,16400,17600,18200,17400,16900,17300,18000,18000,17100,15600,15200,14500,12500,9720
Vietnam,2570,2710,2850,3020,3210,3430,3630,3850,4030,4210,4430,4660,4860,5070,5310,5610,5900,6230,6610,6970
Yemen,4000,4030,4070,4100,4150,4250,4270,4290,4320,4360,4570,3880,3860,3940,3830,3110,2620,2400,2360,2340
Zambia,2130,2180,2220,2320,2420,2520,2650,2800,2930,3120,3340,3420,3570,3630,3690,3680,3700,3720,3740,3700
Zimbabwe,2950,2980,2710,2240,2100,1980,1890,1810,1480,1630,1930,2170,2490,2490,2510,2510,2490,2570,2620,2390
